[Epoch 1] Batch 19200/44996 | Loss: 0.0000
[Epoch 1] Batch 19300/44996 | Loss: 0.0000
[Epoch 1] Batch 19400/44996 | Loss: 0.0000
[Epoch 1] Batch 19500/44996 | Loss: 0.0000
[Epoch 1] Batch 19600/44996 | Loss: 0.0000
[Epoch 1] Batch 19700/44996 | Loss: 0.0000
[Epoch 1] Batch 19800/44996 | Loss: 0.0000
[Epoch 1] Batch 19900/44996 | Loss: 0.0000
[Epoch 1] Batch 20000/44996 | Loss: 0.0002
[Epoch 1] Batch 20100/44996 | Loss: 0.0001
[Epoch 1] Batch 20200/44996 | Loss: 0.0001
[Epoch 1] Batch 20300/44996 | Loss: 0.0000
[Epoch 1] Batch 20400/44996 | Loss: 0.0000
[Epoch 1] Batch 20500/44996 | Loss: 0.0000
[Epoch 1] Batch 20600/44996 | Loss: 0.0000
[Epoch 1] Batch 20700/44996 | Loss: 0.0000
[Epoch 1] Batch 20800/44996 | Loss: 0.0000
[Epoch 1] Batch 20900/44996 | Loss: 0.0000
[Epoch 1] Batch 21000/44996 | Loss: 0.0000
[Epoch 1] Batch 21100/44996 | Loss: 0.0000
[Epoch 1] Batch 21200/44996 | Loss: 0.0000
[Epoch 1] Batch 21300/44996 | Loss: 0.0000
[Epoch 1] Batch 21400/44996 | Loss: 0.0000
[Epoch 1] Batch 21500/44996 | Loss: 0.0000
[Epoch 1] Batch 21600/44996 | Loss: 0.0000
[Epoch 1] Batch 21700/44996 | Loss: 0.0000
[Epoch 1] Batch 21800/44996 | Loss: 0.0000
[Epoch 1] Batch 21900/44996 | Loss: 0.0000
[Epoch 1] Batch 22000/44996 | Loss: 0.0000
[Epoch 1] Batch 22100/44996 | Loss: 0.0312
[Epoch 1] Batch 22200/44996 | Loss: 0.0001
[Epoch 1] Batch 22300/44996 | Loss: 0.0000
[Epoch 1] Batch 22400/44996 | Loss: 0.0000
[Epoch 1] Batch 22500/44996 | Loss: 0.0000
[Epoch 1] Batch 22600/44996 | Loss: 0.0000
[Epoch 1] Batch 22700/44996 | Loss: 0.0000
[Epoch 1] Batch 22800/44996 | Loss: 0.0000
[Epoch 1] Batch 22900/44996 | Loss: 0.0000
[Epoch 1] Batch 23000/44996 | Loss: 0.0000
[Epoch 1] Batch 23100/44996 | Loss: 0.0000
[Epoch 1] Batch 23200/44996 | Loss: 0.0000
[Epoch 1] Batch 23300/44996 | Loss: 0.0000
[Epoch 1] Batch 23400/44996 | Loss: 0.0000
[Epoch 1] Batch 23500/44996 | Loss: 0.0000
[Epoch 1] Batch 23600/44996 | Loss: 0.0000
[Epoch 1] Batch 23700/44996 | Loss: 0.0000
[Epoch 1] Batch 23800/44996 | Loss: 0.0000
[Epoch 1] Batch 23900/44996 | Loss: 0.0000
[Epoch 1] Batch 24000/44996 | Loss: 0.0000
[Epoch 1] Batch 24100/44996 | Loss: 0.0000
[Epoch 1] Batch 24200/44996 | Loss: 0.0000
[Epoch 1] Batch 24300/44996 | Loss: 0.0000
[Epoch 1] Batch 24400/44996 | Loss: 0.0000
[Epoch 1] Batch 24500/44996 | Loss: 0.0000
[Epoch 1] Batch 24600/44996 | Loss: 0.0001
[Epoch 1] Batch 24700/44996 | Loss: 0.0000
[Epoch 1] Batch 24800/44996 | Loss: 0.0000
[Epoch 1] Batch 24900/44996 | Loss: 0.0000
[Epoch 1] Batch 25000/44996 | Loss: 0.0001
[Epoch 1] Batch 25100/44996 | Loss: 0.0000
[Epoch 1] Batch 25200/44996 | Loss: 0.0000
[Epoch 1] Batch 25300/44996 | Loss: 0.0000
[Epoch 1] Batch 25400/44996 | Loss: 0.0000
[Epoch 1] Batch 25500/44996 | Loss: 0.0000
[Epoch 1] Batch 25600/44996 | Loss: 0.0000
[Epoch 1] Batch 25700/44996 | Loss: 0.0000
[Epoch 1] Batch 25800/44996 | Loss: 0.0000
[Epoch 1] Batch 25900/44996 | Loss: 0.0000
[Epoch 1] Batch 26000/44996 | Loss: 0.0000
[Epoch 1] Batch 26100/44996 | Loss: 0.0000
[Epoch 1] Batch 26200/44996 | Loss: 0.0000
[Epoch 1] Batch 26300/44996 | Loss: 0.0000
[Epoch 1] Batch 26400/44996 | Loss: 0.0000
[Epoch 1] Batch 26500/44996 | Loss: 0.0000
[Epoch 1] Batch 26600/44996 | Loss: 0.0000
[Epoch 1] Batch 26700/44996 | Loss: 0.0000
[Epoch 1] Batch 26800/44996 | Loss: 0.0000
[Epoch 1] Batch 26900/44996 | Loss: 0.0000
[Epoch 1] Batch 27000/44996 | Loss: 0.0000
[Epoch 1] Batch 27100/44996 | Loss: 0.0000
[Epoch 1] Batch 27200/44996 | Loss: 0.0000
[Epoch 1] Batch 27300/44996 | Loss: 0.0000
[Epoch 1] Batch 27400/44996 | Loss: 0.0000
[Epoch 1] Batch 27500/44996 | Loss: 0.0000
[Epoch 1] Batch 27600/44996 | Loss: 0.0000
[Epoch 1] Batch 27700/44996 | Loss: 0.0000
[Epoch 1] Batch 27800/44996 | Loss: 0.0000
[Epoch 1] Batch 27900/44996 | Loss: 0.0000
[Epoch 1] Batch 28000/44996 | Loss: 0.0000
[Epoch 1] Batch 28100/44996 | Loss: 0.0000
[Epoch 1] Batch 28200/44996 | Loss: 0.0000
[Epoch 1] Batch 28300/44996 | Loss: 0.0000
[Epoch 1] Batch 28400/44996 | Loss: 0.0000
[Epoch 1] Batch 28500/44996 | Loss: 0.0000
[Epoch 1] Batch 28600/44996 | Loss: 0.0000
[Epoch 1] Batch 28700/44996 | Loss: 0.0000
[Epoch 1] Batch 28800/44996 | Loss: 0.0000
[Epoch 1] Batch 28900/44996 | Loss: 0.0000
[Epoch 1] Batch 29000/44996 | Loss: 0.0000
[Epoch 1] Batch 29100/44996 | Loss: 0.0000
[Epoch 1] Batch 29200/44996 | Loss: 0.0000
[Epoch 1] Batch 29300/44996 | Loss: 0.0000
[Epoch 1] Batch 29400/44996 | Loss: 0.0000
[Epoch 1] Batch 29500/44996 | Loss: 0.0000
[Epoch 1] Batch 29600/44996 | Loss: 0.0000
[Epoch 1] Batch 29700/44996 | Loss: 0.0000
[Epoch 1] Batch 29800/44996 | Loss: 0.0000
[Epoch 1] Batch 29900/44996 | Loss: 0.0000
[Epoch 1] Batch 30000/44996 | Loss: 0.0000
[Epoch 1] Batch 30100/44996 | Loss: 0.0000
[Epoch 1] Batch 30200/44996 | Loss: 0.0000
[Epoch 1] Batch 30300/44996 | Loss: 0.0000
[Epoch 1] Batch 30400/44996 | Loss: 0.0000
[Epoch 1] Batch 30500/44996 | Loss: 0.0000
[Epoch 1] Batch 30600/44996 | Loss: 0.0000
[Epoch 1] Batch 30700/44996 | Loss: 0.0000
[Epoch 1] Batch 30800/44996 | Loss: 0.0000
[Epoch 1] Batch 30900/44996 | Loss: 0.0000
[Epoch 1] Batch 31000/44996 | Loss: 0.0000
[Epoch 1] Batch 31100/44996 | Loss: 0.0000
[Epoch 1] Batch 31200/44996 | Loss: 0.0000
[Epoch 1] Batch 31300/44996 | Loss: 0.0000
[Epoch 1] Batch 31400/44996 | Loss: 0.0000
[Epoch 1] Batch 31500/44996 | Loss: 0.0000
[Epoch 1] Batch 31600/44996 | Loss: 0.0000
[Epoch 1] Batch 31700/44996 | Loss: 0.0000
[Epoch 1] Batch 31800/44996 | Loss: 0.0000
[Epoch 1] Batch 31900/44996 | Loss: 0.0000
[Epoch 1] Batch 32000/44996 | Loss: 0.0001
[Epoch 1] Batch 32100/44996 | Loss: 0.0001
[Epoch 1] Batch 32200/44996 | Loss: 0.0000
[Epoch 1] Batch 32300/44996 | Loss: 0.0000
[Epoch 1] Batch 32400/44996 | Loss: 0.0000
[Epoch 1] Batch 32500/44996 | Loss: 0.0000
[Epoch 1] Batch 32600/44996 | Loss: 0.0000
[Epoch 1] Batch 32700/44996 | Loss: 0.0000
[Epoch 1] Batch 32800/44996 | Loss: 0.0000
[Epoch 1] Batch 32900/44996 | Loss: 0.0000
[Epoch 1] Batch 33000/44996 | Loss: 0.0000
[Epoch 1] Batch 33100/44996 | Loss: 0.0000
[Epoch 1] Batch 33200/44996 | Loss: 0.0000
[Epoch 1] Batch 33300/44996 | Loss: 0.0000
[Epoch 1] Batch 33400/44996 | Loss: 0.0000
[Epoch 1] Batch 33500/44996 | Loss: 0.0000
[Epoch 1] Batch 33600/44996 | Loss: 0.0000
[Epoch 1] Batch 33700/44996 | Loss: 0.0000
[Epoch 1] Batch 33800/44996 | Loss: 0.0000
[Epoch 1] Batch 33900/44996 | Loss: 0.0000
[Epoch 1] Batch 34000/44996 | Loss: 0.0000
[Epoch 1] Batch 34100/44996 | Loss: 0.0000
[Epoch 1] Batch 34200/44996 | Loss: 0.0000
[Epoch 1] Batch 34300/44996 | Loss: 0.0000
[Epoch 1] Batch 34400/44996 | Loss: 0.0000
